epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.93418,1.65892,1.57978,1.5226,0.98685,1,0.995,0.45951,1.69483,0.75883,1.53941,8.574e-05,8.574e-05,8.574e-05
2,7.13035,1.33866,1.33583,1.14695,0.87177,1,0.92833,0.60784,1.3245,0.96576,1.429,0.000183471,0.000183471,0.000183471
3,9.07609,0.99068,1.52039,0.96452,0.9811,1,0.995,0.61602,1.27106,0.72617,1.2259,0.000278726,0.000278726,0.000278726
4,10.9326,1.16881,1.14352,1.0942,0.96817,1,0.995,0.62458,1.16962,0.70645,1.19395,0.000371506,0.000371506,0.000371506
5,12.7922,1.29346,1.27674,1.19247,0.97217,1,0.995,0.64055,1.30234,0.73228,1.26906,0.00046181,0.00046181,0.00046181
6,14.6503,1.11018,1.24619,1.08258,0.98886,1,0.995,0.60681,1.35852,0.84096,1.26334,0.000549638,0.000549638,0.000549638
7,16.5166,1.00693,2.21049,0.979,0.98935,1,0.995,0.67597,1.21223,0.72844,1.14429,0.00063499,0.00063499,0.00063499
8,18.3973,1.14864,1.28479,1.05858,0.98077,1,0.995,0.66113,1.25179,0.68025,1.1656,0.000717867,0.000717867,0.000717867
9,20.238,1.19687,1.30552,1.11289,0.98641,1,0.995,0.64347,1.27017,0.75078,1.20116,0.000798268,0.000798268,0.000798268
10,22.0483,1.06063,1.10175,1.03097,0.98368,1,0.995,0.56527,1.29964,0.85308,1.2644,0.000876193,0.000876193,0.000876193
11,23.8551,1.15568,1.30439,1.0575,0.96994,1,0.995,0.58724,1.39689,0.82473,1.30593,0.000951643,0.000951643,0.000951643
12,25.7133,1.09035,1.10722,1.05405,0.97143,1,0.995,0.65731,1.33546,0.75406,1.24586,0.00102462,0.00102462,0.00102462
13,27.5217,1.37676,2.39188,1.11856,0.97407,1,0.995,0.67034,1.42374,0.84175,1.31947,0.00109511,0.00109511,0.00109511
14,29.3823,0.91798,1.81818,0.87778,0.97537,1,0.995,0.6297,1.4828,0.86989,1.34068,0.00116314,0.00116314,0.00116314
15,31.2013,0.99481,1.1732,1.02703,0.97485,1,0.995,0.57958,1.49391,0.83624,1.31762,0.00118143,0.00118143,0.00118143
16,33.0313,1.19517,1.28692,1.11706,0.97415,1,0.995,0.63043,1.56857,0.82201,1.41176,0.00116374,0.00116374,0.00116374
17,34.7823,1.07254,1.08162,1.05286,0.97387,1,0.995,0.64185,1.45621,0.74032,1.38788,0.00114606,0.00114606,0.00114606
18,36.5387,1.13908,1.07129,1.06497,0.94133,1,0.995,0.67263,1.26849,0.7472,1.22242,0.00112837,0.00112837,0.00112837
19,38.2824,1.11997,1.00766,1.06651,0.94713,1,0.995,0.56415,1.27208,0.814,1.21529,0.00111069,0.00111069,0.00111069
20,40.0426,0.99781,0.9686,0.99364,0.96201,1,0.995,0.62884,1.14704,0.78933,1.15612,0.00109301,0.00109301,0.00109301
21,41.7683,0.90902,0.98424,0.96124,0.96675,1,0.995,0.65407,1.075,0.72506,1.1027,0.00107532,0.00107532,0.00107532
22,43.6443,1.07077,1.04215,1.04067,0.95349,0.98834,0.995,0.73467,1.10938,0.86079,1.10673,0.00105764,0.00105764,0.00105764
23,45.4523,1.09575,1.08831,1.06005,0.97164,1,0.995,0.66253,1.37003,0.76949,1.24766,0.00103995,0.00103995,0.00103995
24,47.1988,1.04459,0.98424,1.03421,0.98146,1,0.995,0.65567,1.29828,0.76495,1.22168,0.00102227,0.00102227,0.00102227
25,48.9803,0.96439,0.97485,0.94947,0.96478,1,0.995,0.68891,1.31908,0.85667,1.21787,0.00100459,0.00100459,0.00100459
26,50.7894,1.00049,0.94439,0.9398,0.94026,1,0.995,0.67782,1.35481,1.07523,1.19222,0.000986903,0.000986903,0.000986903
27,52.587,1.0773,1.02793,1.04393,0.97135,1,0.995,0.71463,1.28437,1.02064,1.16432,0.000969219,0.000969219,0.000969219
28,54.3595,0.9666,0.90435,0.9481,0.9754,1,0.995,0.74739,1.18151,0.68064,1.13791,0.000951535,0.000951535,0.000951535
29,56.1336,1.07819,0.91195,1.07853,0.98495,1,0.995,0.76952,1.15107,0.64603,1.12645,0.000933851,0.000933851,0.000933851
30,57.9504,0.953,0.88611,1.0087,0.97621,1,0.995,0.68509,1.13736,0.64749,1.12913,0.000916168,0.000916168,0.000916168
31,59.7454,1.02491,0.90712,0.97748,0.97889,1,0.995,0.66876,1.08963,0.66755,1.10794,0.000898484,0.000898484,0.000898484
32,61.4851,0.9896,0.97035,0.99411,0.97157,1,0.995,0.70005,1.11032,0.61695,1.11371,0.0008808,0.0008808,0.0008808
33,63.2383,0.94555,0.85003,0.95612,0.98075,1,0.995,0.71018,1.12572,0.6075,1.14367,0.000863116,0.000863116,0.000863116
34,65.0316,1.18156,0.94671,1.14333,0.99109,1,0.995,0.68337,1.23373,0.58348,1.1934,0.000845432,0.000845432,0.000845432
35,66.9291,1.20119,1.02092,1.18119,0.98827,1,0.995,0.59837,1.35365,0.6393,1.24716,0.000827748,0.000827748,0.000827748
