epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5468,2.36161,9.4403,1.31186,0,0,0,0,2.77022,5.4592,1.67294,7.145e-05,7.145e-05,7.145e-05
2,3.87548,1.83925,8.66501,1.12537,0.00406,1,0.00464,0.0017,1.90683,4.93898,1.14857,0.000155634,0.000155634,0.000155634
3,5.21493,1.08405,6.9784,0.78202,0.00357,1,0.00426,0.00244,1.56421,4.63401,1.01604,0.00023812,0.00023812,0.00023812
4,6.63768,1.15751,6.21391,0.79296,0.00189,0.57143,0.00204,0.00057,1.46484,4.57412,0.95876,0.000318909,0.000318909,0.000318909
5,7.99274,1.2223,5.33099,0.93922,0,0,0,0,1.28593,4.45337,0.90048,0.000397999,0.000397999,0.000397999
6,9.23276,1.17033,5.0216,0.92113,0,0,0,0,1.37834,4.47392,0.95106,0.000475393,0.000475393,0.000475393
7,10.4435,1.09649,5.35036,0.81187,0,0,0,0,1.51825,4.45372,0.94814,0.000551088,0.000551088,0.000551088
8,11.6803,1.39701,4.02363,1.00776,0,0,0,0,1.25811,4.37928,0.9027,0.000625086,0.000625086,0.000625086
9,12.9411,1.14066,4.10848,1.02341,0,0,0,0,1.12463,4.3895,0.91402,0.000697386,0.000697386,0.000697386
10,14.1464,0.96707,4.3687,0.77609,0,0,0,0,1.06045,4.33541,0.98375,0.000767989,0.000767989,0.000767989
11,15.3568,0.98049,3.99477,0.8161,0,0,0,0,1.2883,4.30025,0.96789,0.000836894,0.000836894,0.000836894
12,16.5692,1.27719,4.53507,0.92994,0,0,0,0,1.4056,4.08801,1.10343,0.000904101,0.000904101,0.000904101
13,17.8088,1.06416,3.84816,0.83906,0.0017,0.57143,0.57536,0.38312,1.28594,3.85678,1.12854,0.000969611,0.000969611,0.000969611
14,19.0479,1.33078,2.81845,0.98383,0.00258,0.85714,0.58797,0.32413,1.48375,3.88055,1.20983,0.00103342,0.00103342,0.00103342
15,20.2607,1.00524,3.89481,0.89844,0.00254,0.85714,0.85519,0.43528,1.49529,3.93142,1.16932,0.00109554,0.00109554,0.00109554
16,21.4611,1.45339,3.47893,1.17828,0.00317,1,0.995,0.58735,1.44464,3.53663,1.13899,0.00115595,0.00115595,0.00115595
17,22.64,0.95324,3.37633,0.78254,0.00331,1,0.995,0.52587,1.58536,3.42102,1.16714,0.00120265,0.00120265,0.00120265
18,23.8872,1.32502,2.64448,1.00391,0.00341,1,0.995,0.53488,1.53974,3.40381,1.15695,0.0011885,0.0011885,0.0011885
19,25.0838,1.17984,2.45848,0.95939,0.00338,1,0.995,0.61885,1.2836,3.1441,1.05935,0.00117435,0.00117435,0.00117435
20,26.358,1.39276,2.44463,1.35865,1,0.67203,0.995,0.50834,1.51581,2.8305,1.1607,0.00116021,0.00116021,0.00116021
21,27.5316,1.02252,3.09931,0.79859,1,0.69467,0.995,0.37057,1.85014,2.68339,1.41052,0.00114606,0.00114606,0.00114606
22,28.7299,0.94377,3.13209,0.78526,0.98659,1,0.995,0.25885,2.35025,2.20481,1.85227,0.00113191,0.00113191,0.00113191
23,29.8994,1.072,2.90061,0.90347,0.99069,1,0.995,0.35109,2.18985,2.14811,1.7113,0.00111776,0.00111776,0.00111776
24,31.1096,0.92697,2.51391,0.83667,0.99329,1,0.995,0.55363,1.55309,1.52252,1.30438,0.00110362,0.00110362,0.00110362
25,32.31,1.34087,2.22,0.95558,0.99215,1,0.995,0.55439,1.50581,1.39256,1.26457,0.00108947,0.00108947,0.00108947
26,33.5025,0.91324,2.48297,0.76754,0.99299,1,0.995,0.49556,1.84238,1.44328,1.46869,0.00107532,0.00107532,0.00107532
27,34.6934,0.87204,2.49277,0.79324,0.99361,1,0.995,0.48546,1.83138,1.57646,1.46743,0.00106118,0.00106118,0.00106118
28,35.9614,1.15505,1.83103,1.06682,0.99515,1,0.995,0.55836,1.26581,1.55875,1.12969,0.00104703,0.00104703,0.00104703
29,37.2186,1.06148,1.91283,0.9758,0.99358,1,0.995,0.62984,1.13002,1.42264,1.04131,0.00103288,0.00103288,0.00103288
30,38.5639,1.11732,1.84166,0.98849,0.9946,1,0.995,0.56676,1.23979,1.32639,1.09608,0.00101873,0.00101873,0.00101873
31,39.8138,1.22515,1.81153,1.0999,0.99775,1,0.995,0.50768,1.57113,1.20192,1.26651,0.00100459,0.00100459,0.00100459
32,41.0723,0.81594,2.47034,0.7812,0.99213,1,0.995,0.45301,1.75268,1.16136,1.36105,0.00099044,0.00099044,0.00099044
33,42.3786,1.063,2.05218,0.92827,0.99272,1,0.995,0.47761,1.67912,1.14645,1.30028,0.000976293,0.000976293,0.000976293
34,43.7052,1.16143,1.89015,1.03577,0.99161,1,0.995,0.5862,1.57803,1.1029,1.22812,0.000962146,0.000962146,0.000962146
35,45.0171,1.31125,1.90774,0.96115,0.99103,1,0.995,0.57156,1.61121,1.00399,1.25984,0.000947999,0.000947999,0.000947999
36,46.3082,0.93259,2.19668,0.78035,0.99262,1,0.995,0.46137,1.97381,0.87433,1.49345,0.000933851,0.000933851,0.000933851
