epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.14399,1.17935,6.6062,1.00403,0.72939,0.68255,0.75516,0.59288,0.90121,1.56639,0.88672,0.000245455,0.000245455,0.000245455
2,15.8361,0.91931,2.63341,0.90758,0.96335,0.37064,0.55909,0.35027,1.22826,2.3308,0.98078,0.000495441,0.000495441,0.000495441
3,22.1151,0.97519,1.9886,0.93405,0.83873,0.75,0.89908,0.70207,0.88169,1.42281,0.84761,0.000745373,0.000745373,0.000745373
4,28.403,0.89768,1.66305,0.94423,0.70376,0.79262,0.92206,0.7024,0.90803,1.17959,0.85998,0.000995209,0.000995209,0.000995209
5,34.9489,0.82368,1.00423,0.89267,0.94316,0.86134,0.995,0.82241,0.78186,0.79665,0.84385,0.00124491,0.00124491,0.00124491
6,43.6757,0.85308,1.05734,0.89873,0.94818,0.99341,0.995,0.80873,0.80978,0.76317,0.83476,0.00124914,0.00124914,0.00124914
7,49.7426,0.73966,1.07328,0.86741,0.90687,0.88447,0.91329,0.77813,0.68389,0.85268,0.81637,0.00124877,0.00124877,0.00124877
8,55.648,0.72458,0.71932,0.86046,0.98616,1,0.995,0.80991,0.69829,0.54446,0.82648,0.00124832,0.00124832,0.00124832
9,61.6989,0.82191,0.75006,0.89363,0.97064,1,0.995,0.77762,0.91414,0.61738,0.87518,0.00124781,0.00124781,0.00124781
10,67.8091,0.77012,0.61371,0.87141,0.95921,1,0.995,0.74852,0.86687,0.54124,0.85834,0.00124723,0.00124723,0.00124723
11,73.799,0.72535,0.52433,0.85427,0.99103,1,0.995,0.78164,0.8422,0.55733,0.82901,0.00124658,0.00124658,0.00124658
12,81.713,0.96407,0.5652,0.90989,0.97207,1,0.995,0.78485,0.85766,0.50509,0.84834,0.00124586,0.00124586,0.00124586
13,88.02,0.76197,0.50005,0.86781,0.95787,0.95,0.98993,0.76868,0.88157,0.75556,0.84301,0.00124508,0.00124508,0.00124508
14,94.3326,0.74137,0.60447,0.8536,0.97514,1,0.995,0.83427,0.7264,0.59515,0.81327,0.00124422,0.00124422,0.00124422
15,100.835,0.71054,0.51158,0.84508,0.9863,1,0.995,0.76831,0.86569,0.52158,0.84112,0.0012433,0.0012433,0.0012433
16,107.141,0.68938,0.63327,0.85795,0.99333,0.98086,0.995,0.83505,0.6972,0.43975,0.80161,0.00124231,0.00124231,0.00124231
17,113.537,0.67244,0.48438,0.83734,0.96982,0.96384,0.995,0.81021,0.73271,0.61725,0.81374,0.00124126,0.00124126,0.00124126
18,119.812,0.66454,0.51769,0.84408,0.98898,1,0.995,0.83778,0.72002,0.40488,0.80795,0.00124013,0.00124013,0.00124013
19,126.169,0.70754,0.4631,0.84027,0.98109,1,0.995,0.8602,0.67098,0.36709,0.7897,0.00123894,0.00123894,0.00123894
20,133.101,0.64929,0.43753,0.82966,0.96256,0.96614,0.98279,0.82099,0.72274,0.58081,0.79561,0.00123768,0.00123768,0.00123768
21,139.37,0.65921,0.43913,0.82714,0.97846,1,0.995,0.86016,0.65513,0.41005,0.78931,0.00123636,0.00123636,0.00123636
22,147.538,0.64113,0.41002,0.839,0.97401,1,0.995,0.82554,0.71532,0.4144,0.79994,0.00123496,0.00123496,0.00123496
23,153.802,0.67119,0.44161,0.85027,0.9899,1,0.995,0.86951,0.64437,0.39215,0.78966,0.0012335,0.0012335,0.0012335
24,160.323,0.62048,0.41077,0.82308,0.98616,1,0.995,0.84081,0.6621,0.43157,0.78494,0.00123198,0.00123198,0.00123198
25,166.71,0.69293,0.43434,0.84778,0.98978,1,0.995,0.85636,0.65841,0.42625,0.78392,0.00123038,0.00123038,0.00123038
26,172.914,0.65045,0.40614,0.83235,0.98684,1,0.995,0.83136,0.71953,0.38742,0.79983,0.00122872,0.00122872,0.00122872
27,179.093,0.62072,0.39999,0.82218,0.98853,1,0.995,0.86898,0.66585,0.37936,0.79591,0.001227,0.001227,0.001227
28,185.283,0.56779,0.37671,0.84196,0.98396,1,0.995,0.86167,0.61697,0.33162,0.78486,0.00122521,0.00122521,0.00122521
29,191.616,0.6013,0.38051,0.8299,0.9891,1,0.995,0.86844,0.60751,0.32592,0.79095,0.00122335,0.00122335,0.00122335
30,197.715,0.57208,0.37362,0.8194,0.98527,1,0.995,0.85777,0.65228,0.37373,0.7863,0.00122143,0.00122143,0.00122143
31,203.832,0.60202,0.38684,0.81077,0.98837,1,0.995,0.81465,0.71328,0.38871,0.7934,0.00121944,0.00121944,0.00121944
32,210.369,0.63062,0.42319,0.83895,0.97925,1,0.995,0.85047,0.62604,0.41078,0.77908,0.00121739,0.00121739,0.00121739
33,216.848,0.5752,0.37202,0.8202,0.98953,0.99113,0.995,0.85728,0.66478,0.44059,0.7917,0.00121527,0.00121527,0.00121527
34,224.161,0.56088,0.3696,0.82444,0.99239,1,0.995,0.86463,0.63921,0.36479,0.77499,0.00121309,0.00121309,0.00121309
35,231.72,0.53504,0.36461,0.81005,0.99129,1,0.995,0.86441,0.60246,0.33948,0.76945,0.00121084,0.00121084,0.00121084
36,240.195,0.52336,0.3454,0.81861,0.99385,1,0.995,0.8878,0.58456,0.35171,0.77461,0.00120853,0.00120853,0.00120853
37,248.355,0.55334,0.35733,0.82003,0.99379,1,0.995,0.87055,0.59943,0.35161,0.77883,0.00120615,0.00120615,0.00120615
38,256.071,0.56657,0.35586,0.81661,0.98878,1,0.995,0.8566,0.61872,0.38869,0.77463,0.00120372,0.00120372,0.00120372
39,263.829,0.53014,0.3493,0.79848,0.99391,1,0.995,0.86833,0.58309,0.31967,0.77199,0.00120121,0.00120121,0.00120121
40,271.888,0.53801,0.33535,0.80412,0.98982,0.99751,0.995,0.85258,0.66806,0.38312,0.78958,0.00119865,0.00119865,0.00119865
41,279.85,0.53904,0.35571,0.80942,0.98882,1,0.995,0.85229,0.59889,0.38713,0.77765,0.00119602,0.00119602,0.00119602
42,287.721,0.51921,0.32856,0.79637,0.99219,1,0.995,0.86975,0.6023,0.37075,0.77567,0.00119333,0.00119333,0.00119333
43,295.519,0.52007,0.34115,0.80058,0.99033,1,0.995,0.85247,0.62372,0.34298,0.77375,0.00119058,0.00119058,0.00119058
