epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.03577,1.18457,19.0936,1.05388,0.51152,0.41486,0.3599,0.25775,0.88805,8.09138,0.94755,0.00018816,0.00018816,0.00018816
2,11.9656,0.8797,8.79269,0.92363,0.58291,0.72627,0.71782,0.55381,0.8472,2.63386,0.93243,0.000382177,0.000382177,0.000382177
3,18.0357,0.86081,5.77013,0.89007,0.58922,0.67906,0.63111,0.50356,0.81363,3.87094,0.90908,0.000576099,0.000576099,0.000576099
4,22.3852,0.77896,4.50706,0.86607,0.85658,0.55781,0.74767,0.61062,0.8116,1.67885,0.90475,0.000587677,0.000587677,0.000587677
5,26.9393,0.80068,3.50992,0.89315,0.70733,0.88185,0.93894,0.71705,0.84898,0.73856,0.90978,0.000587426,0.000587426,0.000587426
6,31.5247,0.75985,2.27472,0.87241,0.83289,0.90527,0.98049,0.78695,0.8066,0.65814,0.89891,0.000587103,0.000587103,0.000587103
7,35.7732,0.74679,1.64263,0.86719,0.83753,0.97978,0.98865,0.795,0.77871,0.54166,0.89356,0.000586708,0.000586708,0.000586708
8,40.0115,0.74122,1.26772,0.86325,0.96516,0.87504,0.995,0.78367,0.85584,0.53831,0.91418,0.000586242,0.000586242,0.000586242
9,44.1019,0.73529,1.08586,0.86733,0.94031,0.96343,0.995,0.7736,0.86734,0.4542,0.9098,0.000585705,0.000585705,0.000585705
10,48.192,0.72798,0.88341,0.86339,0.8409,0.97487,0.99115,0.78926,0.76482,0.4615,0.88432,0.000585096,0.000585096,0.000585096
11,52.3701,0.712,0.76623,0.84224,0.9677,0.98587,0.995,0.79483,0.77283,0.37815,0.89281,0.000584417,0.000584417,0.000584417
12,57.9897,0.68495,0.69989,0.83538,0.89706,0.99206,0.995,0.78407,0.72229,0.39829,0.88052,0.000583666,0.000583666,0.000583666
13,67.1415,0.66435,0.65296,0.83433,0.88864,0.99165,0.995,0.79685,0.76785,0.39485,0.88793,0.000582845,0.000582845,0.000582845
14,75.3348,0.69185,0.56933,0.8449,0.9718,0.99306,0.995,0.79954,0.76653,0.40591,0.88652,0.000581953,0.000581953,0.000581953
15,83.2386,0.66594,0.55401,0.83579,0.89321,0.96187,0.995,0.80698,0.76261,0.41691,0.8912,0.00058099,0.00058099,0.00058099
16,91.0396,0.65774,0.51594,0.8324,0.959,0.9627,0.995,0.79814,0.79697,0.43059,0.89822,0.000579958,0.000579958,0.000579958
17,98.8463,0.64031,0.46882,0.83587,0.93303,1,0.995,0.79583,0.77178,0.39554,0.89484,0.000578856,0.000578856,0.000578856
18,106.637,0.65784,0.45431,0.82737,0.96622,0.99886,0.995,0.78715,0.75517,0.36362,0.88251,0.000577684,0.000577684,0.000577684
19,114.384,0.628,0.42612,0.82971,0.92422,1,0.995,0.78806,0.75165,0.35513,0.88044,0.000576443,0.000576443,0.000576443
20,122.159,0.62124,0.41121,0.81532,0.96246,0.98511,0.995,0.79677,0.75856,0.3654,0.87964,0.000575133,0.000575133,0.000575133
21,130.329,0.64827,0.40136,0.8201,0.96035,0.94202,0.995,0.81019,0.81053,0.39834,0.91258,0.000573755,0.000573755,0.000573755
22,138.983,0.66715,0.39594,0.82153,0.9287,0.95034,0.995,0.8114,0.79212,0.37784,0.88579,0.000572308,0.000572308,0.000572308
23,148.605,0.62741,0.3823,0.83058,0.92076,0.97942,0.995,0.79431,0.77452,0.37604,0.89074,0.000570793,0.000570793,0.000570793
24,156.184,0.67624,0.42474,0.82581,0.93105,0.968,0.995,0.82796,0.74579,0.4321,0.88676,0.00056921,0.00056921,0.00056921
25,163.862,0.64631,0.39519,0.82811,0.92959,0.98295,0.995,0.81601,0.7686,0.41247,0.89474,0.000567561,0.000567561,0.000567561
26,171.43,0.65932,0.39138,0.83043,0.95948,0.97171,0.995,0.80438,0.7659,0.37996,0.89173,0.000565844,0.000565844,0.000565844
27,179.105,0.62611,0.3622,0.82317,0.95178,1,0.995,0.81365,0.73739,0.34547,0.87828,0.000564062,0.000564062,0.000564062
28,186.884,0.61225,0.35578,0.82889,0.95771,1,0.995,0.80566,0.76588,0.34694,0.88887,0.000562213,0.000562213,0.000562213
29,194.36,0.61316,0.3515,0.82481,0.9586,0.99707,0.995,0.80455,0.76516,0.35834,0.89033,0.000560299,0.000560299,0.000560299
30,201.803,0.58394,0.34195,0.81315,0.96402,0.99257,0.995,0.80412,0.76467,0.35627,0.88851,0.00055832,0.00055832,0.00055832
31,209.251,0.57917,0.33996,0.81296,0.97247,0.96387,0.995,0.7924,0.77396,0.3564,0.89553,0.000556276,0.000556276,0.000556276
32,218.607,0.56195,0.32428,0.80738,0.96585,0.99001,0.995,0.81752,0.74045,0.32692,0.88272,0.000554169,0.000554169,0.000554169
33,226.052,0.58447,0.3296,0.82125,0.95541,0.99217,0.995,0.80104,0.82387,0.36915,0.91617,0.000551998,0.000551998,0.000551998
34,233.881,0.61523,0.35626,0.79737,0.9573,0.97214,0.995,0.80147,0.83741,0.39063,0.91516,0.000549764,0.000549764,0.000549764
35,241.377,0.58427,0.34344,0.81487,0.96193,0.97625,0.99415,0.80056,0.79511,0.3677,0.89465,0.000547468,0.000547468,0.000547468
36,249.192,0.54199,0.32608,0.78971,0.94615,0.9807,0.995,0.79823,0.76216,0.3763,0.88694,0.000545109,0.000545109,0.000545109
37,257.788,0.56094,0.33067,0.79727,0.97558,0.98135,0.995,0.81482,0.79335,0.35379,0.90418,0.00054269,0.00054269,0.00054269
38,265.834,0.56945,0.3346,0.80799,0.95303,0.97889,0.98177,0.80413,0.79569,0.36863,0.90386,0.00054021,0.00054021,0.00054021
39,273.591,0.55014,0.32287,0.79593,0.95642,0.98143,0.995,0.81603,0.73719,0.36051,0.88005,0.00053767,0.00053767,0.00053767
40,281.559,0.53927,0.31613,0.78513,0.96403,0.96071,0.98835,0.79355,0.797,0.36843,0.90133,0.000535071,0.000535071,0.000535071
41,289.383,0.56138,0.32405,0.80707,0.96616,0.97571,0.99497,0.80719,0.798,0.36893,0.89721,0.000532412,0.000532412,0.000532412
42,297.627,0.54416,0.3082,0.79549,0.97896,0.97117,0.995,0.78755,0.754,0.3453,0.89364,0.000529696,0.000529696,0.000529696
43,306.283,0.54057,0.30684,0.80339,0.90525,0.96181,0.995,0.81537,0.79179,0.34688,0.8974,0.000526923,0.000526923,0.000526923
44,314.864,0.52456,0.30064,0.7875,0.96326,0.9819,0.995,0.8139,0.78631,0.3456,0.89861,0.000524092,0.000524092,0.000524092
45,322.529,0.52913,0.29351,0.79521,0.96848,0.93754,0.995,0.80455,0.74573,0.34205,0.89205,0.000521206,0.000521206,0.000521206
46,330.298,0.49937,0.29188,0.77269,0.96339,0.98724,0.995,0.79813,0.76934,0.33434,0.90145,0.000518264,0.000518264,0.000518264
47,338.064,0.50822,0.29676,0.77769,0.96724,0.97847,0.995,0.79974,0.80517,0.335,0.90652,0.000515267,0.000515267,0.000515267
48,345.7,0.56027,0.29065,0.80164,0.93763,0.99609,0.995,0.80373,0.75922,0.35029,0.89274,0.000512217,0.000512217,0.000512217
49,353.433,0.53752,0.29276,0.78747,0.95715,0.98048,0.995,0.79079,0.82521,0.33974,0.91376,0.000509114,0.000509114,0.000509114
50,361.142,0.51165,0.29456,0.77909,0.97576,0.97766,0.995,0.8109,0.79286,0.33869,0.90213,0.000505958,0.000505958,0.000505958
51,369.11,0.5244,0.28779,0.78961,0.96774,0.9652,0.995,0.80828,0.75876,0.34454,0.88511,0.00050275,0.00050275,0.00050275
