epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.87806,2.24525,4.43326,1.49759,0.84844,0.65224,0.60555,0.36986,1.2344,1.98263,1.1078,0.00041441,0.00041441,0.00041441
2,9.25949,1.54183,2.4845,1.14136,0.83424,0.65641,0.73934,0.40349,1.44977,2.41296,1.19196,0.000842904,0.000842904,0.000842904
3,13.3782,1.5943,2.15849,1.24453,0.84236,0.6277,0.7031,0.45209,1.16535,1.29028,1.11594,0.00127057,0.00127057,0.00127057
4,17.4457,1.44054,1.59164,1.14841,0.65693,0.82076,0.77259,0.49401,1.29929,1.19646,1.07182,0.00142586,0.00142586,0.00142586
5,21.5532,1.3518,1.15059,1.08858,0.73926,0.83101,0.93556,0.55321,1.42174,1.05696,1.15272,0.00142342,0.00142342,0.00142342
6,25.5641,1.39671,1.10226,1.11788,0.92627,0.94177,0.97496,0.64923,1.15763,0.77799,1.04125,0.00142029,0.00142029,0.00142029
7,29.6347,1.27544,0.85757,1.08404,0.89688,0.9019,0.9749,0.62127,1.16948,0.77231,1.03061,0.00141647,0.00141647,0.00141647
8,33.4665,1.28378,1.03185,1.07124,0.92472,0.92592,0.97234,0.66626,1.03839,0.68261,0.99706,0.00141196,0.00141196,0.00141196
9,37.6514,1.19019,0.74838,1.04086,0.98339,0.97289,0.99259,0.64983,1.15709,0.68686,1.07621,0.00140678,0.00140678,0.00140678
10,41.6199,1.2618,0.76345,1.06945,0.92088,0.94995,0.99222,0.67623,1.07046,0.70319,0.99458,0.00140091,0.00140091,0.00140091
11,45.594,1.15922,0.68817,1.02206,0.90965,0.97261,0.99064,0.68401,1.03128,0.67877,0.98209,0.00139438,0.00139438,0.00139438
12,49.7493,1.19597,0.78076,1.01836,0.98241,0.98577,0.99098,0.68296,1.08259,0.58711,0.99505,0.00138718,0.00138718,0.00138718
13,53.6654,1.17445,0.65291,1.02237,0.9672,0.97497,0.99272,0.6813,1.05106,0.63164,0.99707,0.00137933,0.00137933,0.00137933
14,57.6962,1.15088,0.68773,1.01101,0.94371,0.9658,0.99423,0.67082,1.08104,0.61567,0.9908,0.00137082,0.00137082,0.00137082
15,61.5439,1.11745,0.70125,1.00719,0.97492,0.9862,0.99267,0.6705,1.09925,0.57319,1.00311,0.00136168,0.00136168,0.00136168
16,65.4565,1.13936,0.67558,0.99375,0.96333,0.97919,0.9929,0.69184,1.06131,0.59042,0.98123,0.0013519,0.0013519,0.0013519
17,69.5155,1.072,0.57855,0.98646,0.97392,0.98533,0.99447,0.69383,1.02108,0.52009,0.98152,0.0013415,0.0013415,0.0013415
18,73.5295,1.10676,0.60427,0.9898,0.97903,0.99372,0.99413,0.68154,1.06137,0.51409,0.98983,0.0013305,0.0013305,0.0013305
19,77.4618,1.07689,0.55316,0.98284,0.96498,0.99881,0.99247,0.70121,1.05948,0.5181,0.97702,0.00131888,0.00131888,0.00131888
20,81.5149,1.10746,0.59138,1.0102,0.96372,0.99065,0.98936,0.68594,1.01318,0.49397,0.98467,0.00130668,0.00130668,0.00130668
21,85.3978,1.05668,0.56856,0.98447,0.94293,0.99487,0.99067,0.67489,1.03809,0.56383,0.98688,0.00129391,0.00129391,0.00129391
22,89.5257,1.0456,0.67346,0.96431,0.97918,0.99008,0.99314,0.68506,1.05601,0.54742,0.98233,0.00128057,0.00128057,0.00128057
23,93.4793,1.01515,0.55467,0.97098,0.97287,0.99224,0.99428,0.70432,1.03342,0.53987,0.98658,0.00126667,0.00126667,0.00126667
24,97.5388,1.04551,0.60199,0.99554,0.99108,0.99487,0.9949,0.72525,0.95114,0.51085,0.96091,0.00125224,0.00125224,0.00125224
25,101.603,0.99356,0.55109,0.95631,0.98287,0.99057,0.99398,0.7076,0.96789,0.47072,0.96522,0.00123728,0.00123728,0.00123728
26,105.565,1.00537,0.51312,0.95792,0.98191,0.99487,0.99434,0.69462,1.03801,0.49544,0.98472,0.00122182,0.00122182,0.00122182
27,109.544,1.00076,0.50297,0.97153,0.98499,1,0.99441,0.71068,1.03415,0.46971,0.99265,0.00120586,0.00120586,0.00120586
28,113.437,0.98532,0.51653,0.94569,0.98431,0.99362,0.99451,0.71674,1.0033,0.48562,0.96232,0.00118943,0.00118943,0.00118943
29,117.413,1.03362,0.51354,0.97069,0.97753,0.99044,0.99407,0.66738,1.15583,0.52978,0.98157,0.00117253,0.00117253,0.00117253
30,121.335,1.07563,0.50764,0.96805,0.96428,0.99303,0.99138,0.69157,0.9989,0.50359,0.97215,0.00115519,0.00115519,0.00115519
31,125.323,1.04049,0.51665,0.96171,0.96217,0.97881,0.98572,0.68685,1.0427,0.5154,0.96892,0.00113742,0.00113742,0.00113742
32,129.437,0.985,0.49545,0.97915,0.89129,0.98559,0.98946,0.69882,1.02582,0.54304,0.97453,0.00111924,0.00111924,0.00111924
33,133.306,1.00781,0.48805,0.95358,0.92553,0.98803,0.99233,0.70177,1.01201,0.51349,0.96527,0.00110066,0.00110066,0.00110066
34,137.275,0.92471,0.46898,0.93673,0.87981,0.99487,0.99052,0.71049,0.94811,0.53616,0.95399,0.00108172,0.00108172,0.00108172
35,141.166,0.9937,0.48431,0.94327,0.98423,0.98694,0.99437,0.67687,1.11304,0.47189,0.98777,0.00106242,0.00106242,0.00106242
36,145.12,0.98969,0.47074,0.94065,0.98543,0.99487,0.99412,0.72261,0.95881,0.45739,0.95304,0.00104278,0.00104278,0.00104278
37,149.151,0.99198,0.46705,0.93418,0.98971,0.99809,0.99495,0.72572,0.97568,0.45563,0.95545,0.00102282,0.00102282,0.00102282
38,153.171,0.9487,0.46237,0.94143,0.99053,0.99468,0.99495,0.71945,1.00932,0.45406,0.96601,0.00100257,0.00100257,0.00100257
39,157.109,0.94673,0.45046,0.94113,0.98696,0.99343,0.9949,0.72457,0.96331,0.43015,0.9577,0.00098204,0.00098204,0.00098204
40,160.993,0.90382,0.43412,0.91927,0.98142,0.99372,0.99485,0.73162,0.94467,0.43677,0.95539,0.000961253,0.000961253,0.000961253
41,164.928,0.87491,0.43399,0.90341,0.9871,0.99401,0.99439,0.70622,1.00207,0.45006,0.96424,0.00094023,0.00094023,0.00094023
42,168.948,0.86363,0.43112,0.89445,0.98839,0.9928,0.99481,0.73454,0.98845,0.44156,0.95746,0.000918991,0.000918991,0.000918991
43,172.938,0.88546,0.43067,0.92387,0.98466,0.99186,0.99475,0.71761,1.04537,0.46829,0.96913,0.000897557,0.000897557,0.000897557
44,176.962,0.95854,0.46485,0.93052,0.969,0.98237,0.99372,0.69751,1.07061,0.48503,0.99108,0.00087595,0.00087595,0.00087595
45,180.898,0.94868,0.44005,0.9286,0.97822,0.99363,0.9947,0.72179,0.99526,0.47562,0.95979,0.00085419,0.00085419,0.00085419
46,184.864,0.91807,0.42642,0.9258,0.99059,0.99127,0.99484,0.71642,0.93782,0.42103,0.94983,0.0008323,0.0008323,0.0008323
47,188.81,0.88885,0.42673,0.91612,0.99652,0.9916,0.99484,0.71422,0.94904,0.45072,0.94638,0.0008103,0.0008103,0.0008103
48,192.703,0.88003,0.42563,0.92596,0.98906,1,0.99446,0.73767,0.91526,0.41992,0.94031,0.000788213,0.000788213,0.000788213
49,197.008,0.83453,0.41221,0.88638,0.98532,0.99279,0.99022,0.74299,0.94821,0.42988,0.9445,0.00076606,0.00076606,0.00076606
50,200.988,0.83179,0.41312,0.8946,0.98038,0.98993,0.99378,0.73668,0.95769,0.44334,0.94467,0.000743864,0.000743864,0.000743864
51,204.88,0.81746,0.40726,0.8977,0.99614,0.99487,0.99495,0.72533,0.96323,0.41692,0.95761,0.000721645,0.000721645,0.000721645
52,208.961,0.83121,0.42073,0.88618,0.99172,0.99472,0.99441,0.72878,0.96497,0.42223,0.95183,0.000699426,0.000699426,0.000699426
53,212.899,0.79263,0.40298,0.88279,0.98765,0.99487,0.99444,0.73298,0.96114,0.42846,0.95687,0.00067723,0.00067723,0.00067723
54,216.906,0.82088,0.40283,0.86073,0.9894,0.98932,0.99495,0.74361,0.96331,0.42733,0.95158,0.000655077,0.000655077,0.000655077
55,220.885,0.84488,0.40691,0.88853,0.99362,0.99065,0.99387,0.73004,1.02566,0.44647,0.97913,0.00063299,0.00063299,0.00063299
